# Constructed from biom file
#OTU ID	MPR13nCUR	MPR22nCUR	MPR12nCUR	MPR24nCUR	MPR13nEST	MPR14nEST	MPR24nEST	MPR34nCUR	MPR26nEST	MPR21nEST	MPR23nCUR	MPR34nEST	MPR32nCUR	MPR33nCUR	MPR33nEST	MPR11nEST	MPR31nEST	MPR11nCUR
AY375087.1.1492	4.0	10.0	6.0	0.0	0.0	1.0	4.0	4.0	10.0	6.0	2.0	0.0	4.0	1.0	0.0	0.0	2.0	10.0
HM756463.1.1319	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ267701.1.1266	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JN082684.1.1541	142.0	12.0	143.0	9.0	0.0	77.0	66.0	67.0	0.0	66.0	68.0	0.0	0.0	59.0	0.0	0.0	61.0	1.0
AOQI01000116.1.1301	34.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC431798.1.1207	242.0	0.0	80.0	3.0	0.0	52.0	0.0	0.0	0.0	0.0	155.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
HQ400393.1.1517	10.0	0.0	5.0	0.0	0.0	9.0	9.0	6.0	0.0	12.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
KF021273.1.1521	13.0	28.0	15.0	1.0	0.0	8.0	20.0	20.0	45.0	6.0	19.0	0.0	6.0	20.0	0.0	0.0	18.0	1.0
HM591357.1.1493	10.0	1.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	9.0	4.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0
CP005991.3255764.3257171	229.0	238.0	212.0	12.0	3.0	152.0	878.0	1087.0	273.0	840.0	275.0	0.0	216.0	862.0	12.0	0.0	255.0	178.0
GQ144701.1.1205	129.0	71.0	3.0	3.0	0.0	6.0	208.0	159.0	8.0	197.0	126.0	0.0	10.0	146.0	2.0	1.0	178.0	9.0
HM778452.1.1205	16.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	11.0	0.0	27.0	0.0	0.0	0.0	5.0	54.0
JQ074014.1.1356	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JN969338.1.1545	61.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ868805.1.1515	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC431796.1.1360	29.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AZUK01000001.1197001.1198524	14.0	15.0	10.0	0.0	0.0	8.0	14.0	23.0	21.0	12.0	20.0	0.0	6.0	17.0	0.0	0.0	17.0	10.0
HM557179.1.1382	205.0	6.0	0.0	6.0	0.0	2.0	5.0	7.0	7.0	8.0	120.0	0.0	2.0	4.0	0.0	0.0	5.0	11.0
DQ816089.1.1207	34.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	29.0	0.0	3.0	2.0	0.0	0.0	1.0	1.0
HQ757307.1.1206	99.0	0.0	71.0	4.0	0.0	44.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AY563465.1.1506	20.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ958875.1.1322	79.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ539024.1.1202	74.0	0.0	35.0	2.0	0.0	40.0	0.0	0.0	1.0	0.0	49.0	0.0	15.0	0.0	0.0	0.0	0.0	19.0
AGRM01000003.578375.579902	107.0	62.0	5.0	2.0	0.0	11.0	89.0	107.0	70.0	114.0	64.0	0.0	36.0	96.0	1.0	0.0	72.0	43.0
JF712666.1.1221	73.0	37.0	0.0	0.0	0.0	0.0	42.0	65.0	73.0	23.0	49.0	0.0	4.0	63.0	1.0	0.0	71.0	2.0
GU906249.1.1413	80.0	18.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ190329.1.1367	48.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CU915079.1.1330	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALE01012247.44.1562	9.0	0.0	10.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	33.0	0.0
AOQI01000276.3448.4692	22.0	20.0	0.0	1.0	0.0	0.0	28.0	74.0	34.0	20.0	5.0	0.0	0.0	50.0	0.0	0.0	57.0	3.0
JX020739.1.995	21.0	81.0	0.0	0.0	0.0	0.0	19.0	27.0	34.0	29.0	19.0	0.0	18.0	25.0	1.0	0.0	25.0	26.0
CP000020.2853741.2855292	9.0	42.0	24.0	0.0	0.0	12.0	15.0	10.0	1.0	13.0	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
HQ883945.1.1551	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF920746.1.1416	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC333901.1.1225	34.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
